# Annotation claims. One row per explained location.
# image<TAB>kind<TAB>addr<TAB>name<TAB>where-it-is-established
#
# A row here is a CLAIM that the location is understood, checkable against
# the document in the last column. Do not add a row because an address is
# mentioned somewhere -- only because its meaning is established there.
#
# Seeded 2026-07-29 with the IRAM work of that day and nothing else. The
# low score is the honest starting point, not a bug.
rev20	irambyte	0x20	previous P3 sample (button edge detect)	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambyte	0x22	source mux / panel shift word	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambyte	0x23	codec control shift word	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambyte	0x25	panel/source internal state	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x22.0	ch1 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.1	ch1 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.2	ch1 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.3	ch2 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.4	ch2 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.5	ch2 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x22.6	derived = !0x25.4 and !0x25.5	disasm/MUX_IRAM22_ANNOTATION.md
rev20	irambit	0x23.6	MONO latch	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.0	ch1 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.1	ch2 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.2	ch1 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	irambit	0x25.3	ch2 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x20	previous P3 sample (button edge detect)	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x22	source mux / panel shift word	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambyte	0x23	codec control shift word	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambyte	0x25	panel/source internal state	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x22.0	ch1 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.1	ch1 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.2	ch1 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.3	ch2 source select bit 0	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.4	ch2 source select bit 1	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.5	ch2 source select bit 2	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x22.6	derived = !0x25.4 and !0x25.5	disasm/MUX_IRAM22_ANNOTATION.md
rev22	irambit	0x23.6	MONO latch	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.0	ch1 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.1	ch2 source state low	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.2	ch1 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev22	irambit	0x25.3	ch2 source state high	disasm/IRAM23_IRAM25_ANNOTATION.md
rev20	func	0x0B8C	ep0_in_fill_chunk	decomp/cand/ep0_in_fill_chunk.c	explained
rev20	func	0x0B77	ep0_in_start_transfer	decomp/cand/ep0_in_start_transfer.c	explained
rev20	func	0x0B5F	ep0_nack_both	decomp/cand/ep0_nack_both.c	explained
rev20	func	0x0D25	ep0_out_data_handler	decomp/cand/ep0_out_data_handler.c	explained
rev20	func	0x0B3E	ep0_ptr_set_in_buf	decomp/cand/ep0_ptr_set_in_buf.c	explained
rev20	func	0x0B45	ep0_send_1byte	decomp/cand/ep0_send_1byte.c	explained
rev20	func	0x1009	ep0_stall_both	decomp/cand/ep0_stall_both.c	explained
rev20	func	0x0518	evt0d_invalidate_boot_eeprom	decomp/cand/evt0d_invalidate_boot_eeprom.c	explained
rev20	func	0x0526	evt0e_usb_suspend_enter_and_resume	decomp/cand/evt0e_usb_suspend_enter_and_resume.c	explained
rev20	func	0x0564	evt_dispatch_epilogue	decomp/cand/evt_dispatch_epilogue.c	explained
rev20	func	0x08BD	extchip_write_2e_2f	decomp/cand/extchip_write_2e_2f.c	explained
rev20	func	0x08C4	extchip_write_2e_2f_dup	decomp/cand/extchip_write_2e_2f_dup.c	explained
rev20	func	0x08A6	extchip_write_reg4_zero	decomp/cand/extchip_write_reg4_zero.c	explained
rev20	func	0x08B3	extchip_write_val05	decomp/cand/extchip_write_val05.c	explained
rev20	func	0x08CB	hw_master_init	decomp/cand/hw_master_init.c	explained
rev20	func	0x0CDD	i2c_eeprom_read_byte	decomp/cand/i2c_eeprom_read_byte.c	explained
rev20	func	0x0BEE	i2c_eeprom_write_byte	decomp/cand/i2c_eeprom_write_byte.c	explained
rev20	func	0x0F96	jmp_r2r1_trampoline	decomp/cand/jmp_r2r1_trampoline.c	explained
rev20	func	0x0A95	mbox_main	decomp/cand/main.c	explained
rev20	func	0x0ED5	p3_button_scan	decomp/cand/p3_button_scan.c	explained
rev20	func	0x0E20	queue_chip_reg4_val40	decomp/cand/queue_chip_reg4_val40.c	explained
rev22	func	0x0EE8	acg2frq0_load_and_acgctl	decomp/cand/rev22_acg2frq0_load_and_acgctl.c	explained
rev22	func	0x0EF4	acg_both_dctl_write_0x10	decomp/cand/rev22_acg_both_dctl_write_0x10.c	explained
rev22	func	0x0EC8	acg_both_synths_24576khz	decomp/cand/rev22_acg_both_synths_24576khz.c	explained
rev22	func	0x0EF3	acg_dividers_div2	decomp/cand/rev22_acg_dividers_div2.c	explained
rev22	func	0x070F	audio_clock_set_mode	decomp/cand/rev22_audio_clock_set_mode.c	explained
rev22	func	0x09B6	audio_hw_bringup	decomp/cand/rev22_audio_hw_bringup.c	explained
rev22	func	0x0FBA	rev22_c51_initseg_table	decomp/cand/rev22_c51_initseg_table.c	explained
rev22	func	0x092A	keil_c51_startup	decomp/cand/rev22_c51_startup.c	explained
rev22	func	0x04C4	cmd10_set_clock_mode5	decomp/cand/rev22_cmd10_set_clock_mode5.c	explained
rev22	func	0x04C8	cmd11_eeprom_selftest	decomp/cand/rev22_cmd11_eeprom_selftest.c	explained
rev22	func	0x0517	cmd13_invalidate_boot_eeprom	decomp/cand/rev22_cmd13_invalidate_boot_eeprom.c	explained
rev22	func	0x0525	cmd14_usb_suspend_and_resume	decomp/cand/rev22_cmd14_usb_suspend_and_resume.c	explained
rev22	func	0x0336	cmd1_apply_clock_mode	decomp/cand/rev22_cmd1_apply_clock_mode.c	explained
rev22	func	0x038A	cmd2_apply_iface1_alt	decomp/cand/rev22_cmd2_apply_iface1_alt.c	explained
rev22	func	0x03FD	cmd3_apply_iface2_alt	decomp/cand/rev22_cmd3_apply_iface2_alt.c	explained
rev22	func	0x045A	cmd4_reapply_current_clock_mode	decomp/cand/rev22_cmd4_reapply_current_clock_mode.c	explained
rev22	func	0x0469	cmd5_set_clock_mode1_altbits	decomp/cand/rev22_cmd5_set_clock_mode1_altbits.c	explained
rev22	func	0x0478	cmd6_12_set_clock_mode1	decomp/cand/rev22_cmd6_12_set_clock_mode1.c	explained
rev22	func	0x047D	cmd7_set_clock_mode2_prog_spdif	decomp/cand/rev22_cmd7_set_clock_mode2_prog_spdif.c	explained
rev22	func	0x049F	cmd8_set_clock_mode3_prog_spdif	decomp/cand/rev22_cmd8_set_clock_mode3_prog_spdif.c	explained
rev22	func	0x04C0	cmd9_set_clock_mode4	decomp/cand/rev22_cmd9_set_clock_mode4.c	explained
rev22	func	0x0FE2	cport_cnf3_write_enable	decomp/cand/rev22_cport_cnf3_write_enable.c	explained
rev22	func	0x0567	cs8427_write_reg04_val41	decomp/cand/rev22_cs8427_write_reg04_val41.c	explained
rev22	func	0x0575	cs8427_write_shadowed	decomp/cand/rev22_cs8427_write_shadowed.c	explained
rev22	func	0x0FF2	dma0_disable	decomp/cand/rev22_dma0_disable.c	explained
rev22	func	0x0103	ep0_arm_in_3bytes	decomp/cand/rev22_ep0_arm_in_3bytes.c	explained
rev22	func	0x0247	ep0_arm_in_and_done	decomp/cand/rev22_ep0_arm_in_and_done.c	explained
rev22	func	0x0B5B	ep0_buf_store_zero	decomp/cand/rev22_ep0_buf_store_zero.c	explained
rev22	func	0x0D9E	ep0_clamp_len_to_wlength	decomp/cand/rev22_ep0_clamp_len_to_wlength.c	explained
rev22	func	0x0B3E	ep0_clear_stall_both	decomp/cand/rev22_ep0_clear_stall_both.c	explained
rev22	func	0x0B4D	ep0_clear_stall_toggle	decomp/cand/rev22_ep0_clear_stall_toggle.c	explained
rev22	func	0x02E8	ep0_done_no_data	decomp/cand/rev22_ep0_done_no_data.c	explained
rev22	func	0x0B75	ep0_flush_arm	decomp/cand/rev22_ep0_flush_arm.c	explained
rev22	func	0x0B37	ep0_in_buf_ptr_load	decomp/cand/rev22_ep0_in_buf_ptr_load.c	explained
rev22	func	0x0F91	ep0_in_done_handler	decomp/cand/rev22_ep0_in_done_handler.c	explained
rev22	func	0x0ABB	ep0_in_send_chunk	decomp/cand/rev22_ep0_in_send_chunk.c	explained
rev22	func	0x0B63	ep0_in_stage_and_go	decomp/cand/rev22_ep0_in_stage_and_go.c	explained
rev22	func	0x0B25	ep0_load_dptr	decomp/cand/rev22_ep0_load_dptr.c	explained
rev22	func	0x0B1F	ep0_out_buf_ptr_load	decomp/cand/rev22_ep0_out_buf_ptr_load.c	explained
rev22	func	0x0B2E	ep0_set_both_dcnt	decomp/cand/rev22_ep0_set_both_dcnt.c	explained
rev22	func	0x02EF	ep0_stall_both	decomp/cand/rev22_ep0_stall_both.c	explained
rev22	func	0x1001	ep0_stall_both_clear_phase_flags	decomp/cand/rev22_ep0_stall_both_clear_phase_flags.c	explained
rev22	func	0x0B2C	ep0_store_byte_and_arm_zlp	decomp/cand/rev22_ep0_store_byte_and_arm_zlp.c	explained
rev22	func	0x044E	evt_arm_zlp_and_finish	decomp/cand/rev22_evt_arm_zlp_and_finish.c	explained
rev22	func	0x07EC	hw_clock_codec_init	decomp/cand/rev22_hw_clock_codec_init.c	explained
rev22	func	0x0D11	i2c_eeprom_read_byte	decomp/cand/rev22_i2c_eeprom_read_byte.c	explained
rev22	func	0x0BDA	i2c_eeprom_write3	decomp/cand/rev22_i2c_eeprom_write3.c	explained
rev22	func	0x0BD4	jmp_via_r2r1	decomp/cand/rev22_jmp_via_r2r1.c	explained
rev22	func	0x0B6E	load_dptr_from_ptr19	decomp/cand/rev22_load_dptr_from_ptr19.c	explained
rev22	func	0x0A3F	main_loop	decomp/cand/rev22_main_loop.c	explained
rev22	func	0x0D0A	oep0_clear_stall_and_rearm	decomp/cand/rev22_oep0_clear_stall_and_rearm.c	explained
rev22	func	0x0CC7	oep0_int_handler	decomp/cand/rev22_oep0_int_handler.c	explained
rev22	func	0x0F31	p3_edge_poll_dispatch	decomp/cand/rev22_p3_edge_poll_dispatch.c	explained
rev22	func	0x0E1B	panel_state_cycle_A	decomp/cand/rev22_panel_state_cycle_A.c	explained
rev22	func	0x0E8F	panel_state_cycle_B	decomp/cand/rev22_panel_state_cycle_B.c	explained
rev22	func	0x0EC7	sfr_write_then_acg_program	decomp/cand/rev22_sfr_write_then_acg_program.c	explained
rev22	func	0x0E56	shiftreg_out16_p1	decomp/cand/rev22_shiftreg_out16_p1.c	explained
rev22	func	0x0EFC	shiftreg_out8_p1hi	decomp/cand/rev22_shiftreg_out8_p1hi.c	explained
rev22	func	0x0D58	sof_int_handler	decomp/cand/rev22_sof_int_handler.c	explained
rev22	func	0x0C31	spi3wire_write_3bytes	decomp/cand/rev22_spi3wire_write_3bytes.c	explained
rev22	func	0x0FFA	stage_ctrl_pair_12_00	decomp/cand/rev22_stage_ctrl_pair_12_00.c	explained
rev22	func	0x0145	std_clear_feature	decomp/cand/rev22_std_clear_feature.c	explained
rev22	func	0x015C	std_get_configuration	decomp/cand/rev22_std_get_configuration.c	explained
rev22	func	0x0177	std_get_descriptor	decomp/cand/rev22_std_get_descriptor.c	explained
rev22	func	0x01ED	std_get_interface	decomp/cand/rev22_std_get_interface.c	explained
rev22	func	0x022F	std_get_status	decomp/cand/rev22_std_get_status.c	explained
rev22	func	0x024D	std_set_address	decomp/cand/rev22_std_set_address.c	explained
rev22	func	0x0259	std_set_configuration	decomp/cand/rev22_std_set_configuration.c	explained
rev22	func	0x029D	std_set_interface	decomp/cand/rev22_std_set_interface.c	explained
rev22	func	0x029B	std_stall_unsupported	decomp/cand/rev22_std_stall_unsupported.c	explained
rev22	func	0x0100	thunk_stall_ep0	decomp/cand/rev22_thunk_stall_ep0.c	explained
rev22	func	0x1016	timer0_tick_isr	decomp/cand/rev22_timer0_tick_isr.c	explained
rev22	func	0x1020	toggle_bit1E_state	decomp/cand/rev22_toggle_bit1E_state.c	explained
rev22	func	0x0B7F	udiv16	decomp/cand/rev22_udiv16.c	explained
rev22	func	0x02F3	usb_deferred_action_dispatch	decomp/cand/rev22_usb_deferred_action_dispatch.c	explained
rev22	func	0x057D	rev22_usb_descriptor_block	decomp/cand/rev22_usb_descriptor_block.c	explained
rev22	func	0x0891	usb_ep_dma_init	decomp/cand/rev22_usb_ep_dma_init.c	explained
rev22	func	0x0DDF	usb_isr_int0_vecdispatch	decomp/cand/rev22_usb_isr_int0_vecdispatch.c	explained
rev22	func	0x0F64	usb_rstr_handler	decomp/cand/rev22_usb_rstr_handler.c	explained
rev22	func	0x0026	usb_setup_handler	decomp/cand/rev22_usb_setup_handler.c	explained
rev22	func	0x010B	usb_std_request_dispatch	decomp/cand/rev22_usb_std_request_dispatch.c	explained
rev22	func	0x0006	usb_susr_handler	decomp/cand/rev22_usb_susr_handler.c	explained
rev22	func	0x0C7D	rev22_vecint_dispatch_table	decomp/cand/rev22_vecint_dispatch_table.c	explained
rev22	func	0x000A	reti_stub_ie1	decomp/cand/rev22_vecint_noop_stubs.c	explained
rev22	func	0x1029	vecint_iep7_noop	decomp/cand/rev22_vecint_noop_stubs_tail.c	explained
rev22	func	0x0000	reset_vector	decomp/cand/rev22_vector_table.c	explained
rev20	func	0x0568	serial_ctl_write_04_41_then_12_00	decomp/cand/serial_ctl_write_04_41_then_12_00.c	explained
rev20	func	0x0582	serial_ctl_write_caller_pair_then_24_80	decomp/cand/serial_ctl_write_caller_pair_then_24_80.c	explained
rev20	func	0x006B	setup_class_out_endpoint	decomp/cand/setup_class_out_endpoint.c	explained
rev20	func	0x0055	setup_class_out_interface	decomp/cand/setup_class_out_interface.c	explained
rev20	func	0x0073	setup_get_input_source	decomp/cand/setup_get_input_source.c	explained
rev20	func	0x008A	setup_get_sample_freq	decomp/cand/setup_get_sample_freq.c	explained
rev20	func	0x0E62	shiftreg16_commit	decomp/cand/shiftreg16_commit.c	explained
rev20	func	0x0F0C	shiftreg8_commit	decomp/cand/shiftreg8_commit.c	explained
rev20	func	0x0144	std_clear_feature	decomp/cand/std_clear_feature.c	explained
rev20	func	0x015D	std_get_configuration	decomp/cand/std_get_configuration.c	explained
rev20	func	0x0173	std_get_descriptor	decomp/cand/std_get_descriptor.c	explained
rev20	func	0x01F1	std_get_interface	decomp/cand/std_get_interface.c	explained
rev20	func	0x022F	std_get_status	decomp/cand/std_get_status.c	explained
rev20	func	0x0118	std_request_dispatch	decomp/cand/std_request_dispatch.c	explained
rev20	func	0x02EA	std_request_unknown_default	decomp/cand/std_request_unknown_default.c	explained
rev20	func	0x024D	std_set_address	decomp/cand/std_set_address.c	explained
rev20	func	0x025B	std_set_configuration	decomp/cand/std_set_configuration.c	explained
rev20	func	0x0299	std_set_descriptor_stall	decomp/cand/std_set_descriptor_stall.c	explained
rev20	func	0x029C	std_set_feature_stall	decomp/cand/std_set_feature_stall.c	explained
rev20	func	0x029F	std_set_interface	decomp/cand/std_set_interface.c	explained
rev20	func	0x02E7	std_synch_frame_stall	decomp/cand/std_synch_frame_stall.c	explained
rev20	func	0x0F70	switch_case_dispatch	decomp/cand/switch_case_dispatch.c	explained
rev20	func	0x101E	timer0_isr_tick	decomp/cand/timer0_isr_tick.c	explained
rev20	func	0x1028	toggle_bit1e	decomp/cand/toggle_bit1e.c	explained
rev20	func	0x0596	usb_descriptor_block	decomp/cand/usb_descriptor_block.c	explained
rev20	func	0x0970	usb_ep_dma_init	decomp/cand/usb_ep_dma_init.c	explained
rev20	func	0x0026	usb_ev_setup	decomp/cand/usb_ev_setup.c	explained
rev20	func	0x0006	usb_ev_suspend	decomp/cand/usb_ev_suspend.c	explained
rev20	func	0x0FC4	usb_iep0_done_handler	decomp/cand/usb_iep0_done_handler.c	explained
rev20	func	0x0DAC	usb_int0_isr	decomp/cand/usb_int0_isr.c	explained
rev20	func	0x0F43	usb_rstr_handler	decomp/cand/usb_rstr_handler.c	explained
rev20	func	0x0C93	vecint_dispatch_table	decomp/cand/vecint_dispatch_table.c	explained
rev20	func	0x000A	int1_body_reti	decomp/cand/vecint_noop_stubs.c	explained
rev20	func	0x1031	vecint_iep7_noop	decomp/cand/vecint_noop_stubs_tail.c	explained
rev20	func	0x0000	reset_vector	decomp/cand/vector_table.c	explained
rev20	func	0x0E0F	sfr_store_then_acg_ctl6	decomp/symbols.map	explained
rev20	func	0x010D	send_3byte_ep0_reply	decomp/symbols.map	explained
rev22	func	0x016F	ep0_arm_in_1byte	decomp/symbols.map	explained
rev22	func	0x0509	evt_tail_write_ctrl_pair	decomp/symbols.map	explained
rev22	func	0x0512	evt_tail_apply_clock_mode	decomp/symbols.map	explained
rev22	func	0x0563	evt_dispatch_epilogue	decomp/symbols.map	explained
rev20	xdata	0xFFC0	I2C_STA	mboxfw/include/regs.h	name
rev22	xdata	0xFFC0	I2C_STA	mboxfw/include/regs.h	name
rev20	xdata	0xFFC1	I2C_TX	mboxfw/include/regs.h	name
rev22	xdata	0xFFC1	I2C_TX	mboxfw/include/regs.h	name
rev20	xdata	0xFFC2	I2C_RX	mboxfw/include/regs.h	name
rev22	xdata	0xFFC2	I2C_RX	mboxfw/include/regs.h	name
rev20	xdata	0xFFC3	I2C_SADDR	mboxfw/include/regs.h	name
rev22	xdata	0xFFC3	I2C_SADDR	mboxfw/include/regs.h	name
rev20	xdata	0xFF68	IEPCNF0	mboxfw/include/regs.h	name
rev22	xdata	0xFF68	IEPCNF0	mboxfw/include/regs.h	name
rev20	xdata	0xFF69	IEPBBAX0	mboxfw/include/regs.h	name
rev22	xdata	0xFF69	IEPBBAX0	mboxfw/include/regs.h	name
rev20	xdata	0xFF6A	IEPBSIZ0	mboxfw/include/regs.h	name
rev22	xdata	0xFF6A	IEPBSIZ0	mboxfw/include/regs.h	name
rev20	xdata	0xFF6B	IEPBCTX0	mboxfw/include/regs.h	name
rev22	xdata	0xFF6B	IEPBCTX0	mboxfw/include/regs.h	name
rev20	xdata	0xFFA8	OEPCNF0	mboxfw/include/regs.h	name
rev22	xdata	0xFFA8	OEPCNF0	mboxfw/include/regs.h	name
rev20	xdata	0xFFA9	OEPBBAX0	mboxfw/include/regs.h	name
rev22	xdata	0xFFA9	OEPBBAX0	mboxfw/include/regs.h	name
rev20	xdata	0xFFAA	OEPBSIZ0	mboxfw/include/regs.h	name
rev22	xdata	0xFFAA	OEPBSIZ0	mboxfw/include/regs.h	name
rev20	xdata	0xFFAB	OEPBCTX0	mboxfw/include/regs.h	name
rev22	xdata	0xFFAB	OEPBCTX0	mboxfw/include/regs.h	name
rev20	xdata	0xFF60	IEPCNF1	mboxfw/include/regs.h	name
rev22	xdata	0xFF60	IEPCNF1	mboxfw/include/regs.h	name
rev20	xdata	0xFF61	IEPBBAX1	mboxfw/include/regs.h	name
rev22	xdata	0xFF61	IEPBBAX1	mboxfw/include/regs.h	name
rev20	xdata	0xFF62	IEPBSIZ1	mboxfw/include/regs.h	name
rev22	xdata	0xFF62	IEPBSIZ1	mboxfw/include/regs.h	name
rev20	xdata	0xFF63	IEPDCNTX1	mboxfw/include/regs.h	name
rev22	xdata	0xFF63	IEPDCNTX1	mboxfw/include/regs.h	name
rev20	xdata	0xFF67	IEPDCNTY1	mboxfw/include/regs.h	name
rev22	xdata	0xFF67	IEPDCNTY1	mboxfw/include/regs.h	name
rev20	xdata	0xFF98	OEPCNF2	mboxfw/include/regs.h	name
rev22	xdata	0xFF98	OEPCNF2	mboxfw/include/regs.h	name
rev20	xdata	0xFF99	OEPBBAX2	mboxfw/include/regs.h	name
rev22	xdata	0xFF99	OEPBBAX2	mboxfw/include/regs.h	name
rev20	xdata	0xFF9A	OEPBSIZ2	mboxfw/include/regs.h	name
rev22	xdata	0xFF9A	OEPBSIZ2	mboxfw/include/regs.h	name
rev20	xdata	0xFF9B	OEPDCNTX2	mboxfw/include/regs.h	name
